name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Kuran Iverson,2.0827999999999998,94.8024,Forward,22.5,15,21.5,3,6.3,0.473,2.5,4.8,0.522,0.5,1.5,0.316,1.3,2.4,0.547,1.4,0.6,1,7.7,1.7,3.9,5.6,1.7,4,2014,2017,FALSE
Kavonte Ivery,1.9811999999999999,97.524,Forward,23.5,0,7.6,0.8,2.1,0.384,0.5,1,0.511,0.3,1.1,0.278,0.3,0.4,0.8,0.3,0.3,0.1,2.3,0.4,1.2,1.6,0.5,2,2019,2020,FALSE
Terry Ivery,1.7526,77.112,Guard,28,3,10.5,0.6,1.5,0.395,0.5,1.2,0.455,0.1,0.4,0.2,0.7,1.1,0.594,1.4,0.6,0,2,0.2,0.8,1,1,1,2020,2020,FALSE
Kealen Ives,1.7526,74.844,Guard,32,8,18.2,1.5,4.6,0.32,0.8,2.5,0.296,0.7,2.1,0.348,1.1,1.4,0.778,1.9,0.7,0,4.8,0.2,1.5,1.8,1.3,1,2016,2016,FALSE
Brae Ivey,1.8796,83.916,Guard,31,23.5,26.5,2.6,7.2,0.36,1.1,2.5,0.437,1.5,4.6,0.318,2.4,3,0.809,2.9,1.2,0.1,9,0.4,2.2,2.5,2.1,2,2019,2020,FALSE
Isaiah Ivey,1.8796,86.184,Guard,30.25,6.5,15.6,1.5,4,0.377,0.8,2,0.402,0.7,2,0.351,1,1.3,0.803,0.7,0.4,0.2,4.7,0.5,1.5,2,0.5,4,2013,2016,FALSE
Jimond Ivey,1.9558,90.72,Guard,33.25,23,26,3.3,7.3,0.448,2.2,3.9,0.575,1,3.4,0.304,1.8,2.4,0.751,2.4,0.9,0.3,9.5,1.1,3.7,4.8,1.6,4,2016,2019,FALSE
Paolo Ivis,2.0065999999999997,106.596,Forward,16,0,2.9,0.1,0.5,0.267,0.1,0.5,0.267,0,0,0,0.1,0.2,0.6,0,0,0.2,0.3,0.2,0.2,0.4,0,2,2010,2011,FALSE
Jacob Ivory,1.7526,74.844,Guard,19,7.5,13.8,0.9,2.5,0.358,0.8,2.1,0.41,0.1,0.4,0.118,1.7,2.1,0.833,1.4,0.4,0,3.6,0.2,1.1,1.2,1.2,2,2015,2016,FALSE
Josh Ivory,1.8796,90.72,Guard,21.25,3.25,9.1,0.4,1.5,0.272,0,0.3,0.154,0.4,1.2,0.303,0.1,0.2,0.375,0.7,0.2,0,1.2,0.1,0.6,0.7,0.6,4,2013,2016,FALSE
Tre' Ivory,1.8034,79.38,Guard,28.5,9,14.1,0.7,2.4,0.283,0.5,1.8,0.3,0.1,0.6,0.232,0.5,1,0.513,1.8,0.5,0,2,0.2,0.8,1.1,0.9,4,2015,2018,FALSE
Wesley Iwundu,2.0065999999999997,92.988,Forward,33,30.75,28.2,3.2,6.9,0.463,2.8,5.8,0.488,0.4,1.1,0.338,2.6,3.8,0.688,2.8,0.9,0.4,9.5,1.2,3.5,4.7,2.1,4,2014,2017,TRUE
