name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Scott Saunders,2.0828,113.4,Forward,26.2,7.6,15.4,2.7,5.4,0.514,2.7,5.4,0.514,0.0,0.0,0.514,2.4,3.5,0.6859999999999999,0.3,0.3,0.7,7.9,1.4,2.9,4.2,1.3,Overall,5.0,2008,2012,False
Daouda Berete,1.9304,79.38,Guard,28.5,14.0,18.4,1.5,4.0,0.37,1.2,3.3,0.378,0.2,0.7,0.37,1.2,1.7,0.747,1.6,1.0,0.2,4.5,0.8,2.3,3.0,1.3,Central Arkansas,2.0,2013,2014,False
Josh Benson,2.0574,103.4208,Forward,29.0,13.0,17.4,2.7,4.8,0.5589999999999999,2.7,4.8,0.56,0.0,0.0,0.5589999999999999,1.2,1.9,0.638,0.6,0.4,0.6,6.6,1.3,2.1,3.4,1.3,Dayton,4.0,2010,2013,False
Bobby Sharp,1.8796,74.844,Guard,31.0,7.5,18.2,2.2,6.2,0.349,0.4,1.4,0.307,1.7,4.8,0.349,0.6,0.8,0.745,0.9,0.4,0.0,6.7,0.1,1.1,1.2,0.5,Portland,2.0,2014,2015,False
Tim Abruzzo,1.905,78.4728,Guard,22.333333333333332,2.0,16.5,1.9,5.4,0.341,0.8,1.7,0.461,1.1,3.7,0.341,0.7,1.0,0.6970000000000001,0.8,0.8,0.2,5.4,0.6,2.2,2.8,0.7,Navy,3.0,2014,2017,False
Waylan Siverand,2.0066,86.184,Forward,21.333333333333332,4.666666666666667,9.1,0.8,1.5,0.51,0.8,1.5,0.51,0.0,0.0,0.51,0.6,1.0,0.5539999999999999,0.2,0.2,0.4,2.1,0.8,0.8,1.5,0.5,North Carolina A&T,3.0,2012,2014,False
Ryan Siggins,1.9558,95.256,Guard,10.0,0.0,14.0,1.3,3.4,0.382,0.3,0.8,0.375,1.0,2.6,0.382,0.3,0.4,0.75,0.5,0.1,0.1,3.9,0.5,0.7,1.2,0.2,DePaul,1.0,2010,2010,False
Rasheed Worrell,2.0066,92.988,Forward,32.5,14.0,17.9,2.3,4.8,0.478,2.2,4.6,0.486,0.1,0.2,0.478,1.2,2.0,0.5710000000000001,0.4,0.3,0.8,5.8,1.6,2.6,4.2,0.8,Bowling Green State,2.0,2016,2017,False
Dinko Marshavelski,2.1082,108.864,Forward,21.0,2.3333333333333335,7.9,1.2,2.4,0.503,1.2,2.4,0.503,0.0,0.0,0.503,0.6,0.7,0.745,0.1,0.1,0.3,3.0,0.6,0.7,1.2,0.6,Northeastern,3.0,2010,2013,False
Vince Hunter,2.032,92.988,Forward,33.5,29.0,27.1,4.9,9.1,0.54,4.9,8.9,0.544,0.1,0.2,0.54,3.7,6.1,0.604,1.5,1.0,0.9,13.6,2.5,5.4,7.9,2.4,UTEP,2.0,2014,2015,False
